대분류,중분류,내용(쉬운 설명),내용(코드/구현),구현 여부,출처/위치,중복 정책(대분류-중분류),비고
집중리포트-요약카드,개인 몰입,개인 세션 시간 합,participationType=INDIVIDUAL,구현됨(FE+BE),cards.tsx · sumPersonalSeconds,개인타이머-세션,
집중리포트-요약카드,완료한 작업,기간 내 todo.date·isCompleted=true 건수,summary.completedTodoCount,구현됨(FE+BE),cards.tsx · TodoRepository,할일-작업-완료토글,
집중리포트-요약카드,표시포맷,시간=XXh YYm · 작업=N개,formatHMS,구현됨(FE),formatHMS.tsx,,
집중리포트-차트,시간대별,0~23시 막대 그래프,hourlyFocus · splitIntervalByHour,구현됨(FE+BE),stickGraphs.tsx · FocusRecordServiceImpl,,
집중리포트-차트,시간대 phase,FOCUS/BREAK/NORMAL 모두 포함(히트맵과 다름),splitIntervalByHour phase 필터 없음,구현됨(BE),FocusRecordServiceImpl,,
집중리포트-차트,Y축 제한,막대 Y축 0~60분 고정 · 60분 초과 시 클리핑,stickGraphs max:60,구현됨(FE),stickGraphs.tsx,,
집중리포트-차트,카테고리 도넛,카테고리별 focus_session.total_duration 비율,categoryFocus · getRawCategoryStats,구현됨(FE+BE),donutGraph · CategoryRepository,할일-카테고리-색상,
집중리포트-차트,도넛 라벨,1% 미만 라벨 숨김,donutGraph threshold,구현됨(FE),donutGraph.tsx,,
집중리포트-차트,카테고리 달성,카테고리별 완료/전체 할 일 수,completedTodoCount/totalTodoCount · todo.date 기간,구현됨(FE+BE),categoryStats.tsx · CategoryRepository,할일-작업-완료토글,
집중리포트-차트,카테고리 리스트,높이 274px 스크롤·이름 150px truncate,categoryStats.tsx,구현됨(FE),categoryStats.tsx,,
집중리포트-데이터,세션 기준,몰입 시간=focus_session·focus_interval (타이머 로그),started_at BETWEEN 기간 필터,구현됨(BE),FocusRecordServiceImpl,개인타이머-세션,
집중리포트-데이터,할일 기준,완료 작업 수=todo.date·isCompleted (actualTime 아님),TodoRepository countCompletedByUserBetween,구현됨(BE),TodoRepository,할일-작업-완료토글,
집중리포트-데이터,미사용필드,dashboard 응답 dailyFocus FE 미사용,히트맵은 /daily 별도 호출,구현됨(BE),DashboardResponse · chartMain,,
집중리포트-데이터,마이페이지와 차이,마이페이지 누적=todo.actualTime 합 · 리포트=focus_session,서로 다른 데이터 소스,구현됨(FE+BE),MyPageServiceImpl vs FocusRecordServiceImpl,마이페이지-프로필-완료시간 · 캐릭터-성장기준,
집중리포트-이슈,그룹타이머,그룹 공유 타이머(group_focus_session)는 리포트 집계에 별도 미포함,개인/그룹 participationType만 구분,구현됨(BE),FocusSession participationType,그룹타이머-세션,
