,,,,,,,
,POL-014,사이드바(그룹방),작업 공개여부 설정,"그룹방 진입 시 '공개 여부'는 매번 ""공개"" 상태로 초기화됨.",구현됨(FE),FE previewMain/group 사이드바 useState(true) · FocusSession 기본 isTaskPublic/isTimerPublic=true,
,POL-015,사이드바 (공통),프로필 캐릭터,유저가 가장 최근에 획득한 캐릭터(최고 레벨 케릭터)가 노출됨,구현됨(FE+BE),MyPage 프로필 getHighestLevelCharacter · mainImageCharacter 미사용(주석),
,,사이드바 (공통),작업 설정,설정된 작업은 홈/그룹방 이동 시 유지,데이터만(DB),todo DB · 사이드바 상태,
,2. 공식라운지 정책,사이드바 (공통),작업 달성률,화면 달성률은 최대 100%,구현됨(FE+BE),BE Math.min(100; progress) · FE todo 표시,
,POL-016,사이드바 (공통),작업 누적 시건,"작업 기준 누적 합산 표시. 작업이 1일 단위 이므로, 결국엔 하루 - 작업 기준 누적 합산",데이터만(DB),개인 타이머/할일 actualTime · 사이드바 오늘 누적 UI,
,POL-017,사이드바 (공통),개인 타이머 강제 종료,타이머 작동(실행/휴식) 중 페이지 이동 시 타이머가 강제 종료됨,구현됨(FE),,
,POL-018,,,,,,
,,,,,,,
,3. 그룹방 정책,2. 홈 정책,,,,,중복 정책(대분류-중분류)
,POL-019,홈-그룹목록,목록 API,내 그룹 전체 + 공식 라운지 항상 맨 위,구현됨(FE+BE),,그룹방_홈UI-몰입/휴식 · 공식라운지-홈UI
,POL-020,홈-그룹목록,라운지 실시간,홈 라운지 카드 3초 polling + WS presence,구현됨(FE+BE),,공식라운지-정원 · 공식라운지-홈UI
,POL-021,홈-그룹목록,빈/로딩,스켈레톤 2행·그룹 0개 안내·320px 스크롤,구현됨(FE),,
,POL-022,홈-그룹목록,생성 CTA,새 그룹 생성하기 → RoomModal create,구현됨(FE+BE),,그룹방_생성-생성필드 · 온보딩
,POL-023,홈-그룹목록,생성 후 초대,생성 성공 직후 InviteModal 자동 오픈,구현됨(FE),,초대-내부초대
,POL-024,홈-그룹목록,몰입/휴식 배지,PARTICIPATING≥1 → 몰입 중 else 휴식 중,구현됨(FE),,그룹방_홈UI-몰입/휴식배지
,POL-025,홈-그룹목록,인원 표시,(타이머 실행)/(전체 멤버),구현됨(FE),,그룹방_홈UI-인원표시
,POL-026,홈-그룹목록,프로필 5+n,최대 5아이콘 +n hover 상세,구현됨(FE),,그룹방_홈UI-프로필5+n
,POL-027,홈-그룹목록,일반 그룹 입장,참여하기 → /group/{id} + enter timestamp 저장,구현됨(FE+BE),,그룹방_세션-입장
,POL-028,홈-그룹목록,라운지 입장,POST /lounge/enter 후 /lounge?entered=1 · 정원 초과 모달,구현됨(FE+BE),,공식라운지-정원 · 공식라운지-홈UI
,POL-029,홈-그룹목록,그룹 탈퇴,일반 그룹만 케밥 → 그룹 나가기,구현됨(FE+BE),,그룹방_탈퇴-일반멤버 · 그룹방_탈퇴-방장+다른멤버
,POL-030,홈-그룹목록,방장 뱃지,본인 HOST인 일반 그룹에 왕관,구현됨(FE),,그룹방_관리-이름/이미지
,POL-031,홈-그룹목록,GA 체류,입장 시각 저장 → group_stay_duration,구현됨(FE),,
,POL-032,홈-메이트,목록,함께한 메이트 카드·무한 스크롤,구현됨(FE+BE),,메이트검색-부분일치
,POL-033,홈-메이트,그룹 필터,드롭다운에 공식 라운지 제외,구현됨(FE),,공식라운지-홈UI
,POL-034,홈-메이트,검색,Enter/버튼으로 닉네임 LIKE 검색,구현됨(FE+BE),,메이트검색-부분일치
,POL-035,홈-메이트,콕 찌르기,메이트 행 ForkButton → 공통 그룹 선택 → poke,구현됨(FE),,콕찌르기-버튼활성화 · 콕찌르기-송신후이동
,POL-036,,,,,,
,POL-037,,,,,,
,POL-038,2. 공식라운지 정책,,,,,
,POL-039,공식라운지,정체,시스템 운영 단일 공간·UserGroup 멤버십 없음,구현됨(BE),OfficialLoungeBootstrap MAX=20 · OfficialLoungePresenceService · alertModal officialLoungeFull,
,POL-040,공식라운지,정원,최대 20명·초과 시 입장 거부,구현됨(FE+BE),groupRoom.tsx official lounge branch,
,POL-041,공식라운지,입장,홈/직접 POST /lounge/enter → /lounge?entered=1,구현됨(FE+BE),FocusSessionServiceImpl officialLounge early return,
,POL-042,공식라운지,퇴장,leave API + pagehide 자동 퇴실,구현됨(FE+BE),,
,POL-043,공식라운지,홈 UI,탈퇴·방장 뱃지 없음,구현됨(FE),,
,POL-044,공식라운지,참여상태,개인타이머↔UserGroup participationStatus 동기화 안 함,구현됨(BE),,
,POL-045,공식라운지,페이지 상단 기능,오늘의 한마디(Quote) + 라운지 현황(N명) + 집중체크 개인 토글,구현됨(FE),,
,POL-046,공식라운지,집중체크,매 시 정각·개인 opt-in(User.isOfficialLoungeFocusCheckEnabled),구현됨(FE+BE),,
,POL-047,공식라운지,집중체크 수신,presence 입실 + opt-in true (타이머 불필요),구현됨(BE),,
,POL-048,공식라운지,응원,POST /lounge/cheer · Redis cheer-count · 전원 퇴실 시 0,구현됨(FE+BE),,
,,공식라운지,초대,라운지 입실 중인 사람만 초대·수락 시 enter(),구현됨(BE),,
,🍅 3. 그룹타이머,공식라운지,초대 링크,고정 /lounge?entered=1 (inviteModal),구현됨(FE),,
,POL-049,공식라운지,멤버카드,isHost 항상 false · presence+ActiveFocusSession 직접 계산,구현됨(FE+BE),,
,POL-050,공식라운지,멤버카드 lastActiveAt,ISO lastActiveAt 직접 사용,구현됨(FE+BE),,
,POL-051,공식라운지,메이트 필터,홈 메이트 드롭다운에서 라운지 제외,구현됨(FE),,
,POL-052,공식라운지,입장 거절 로그,정원 초과 등 official_lounge_access_log,구현됨(BE),,
,POL-053,,,,,,
,POL-054,,,,,,
,POL-055,3. 그룹방 정책,,,,,
,POL-056,그룹방_생성,생성 필드,name + imageUrl로 생성,구현됨(FE+BE),CreateGroupRequest · FE roomModal,
,,그룹방_생성,기본값,"- 방이 생성하자마자 초대팝업 (기존 메이트 & 링크 초대) 노출. 방으로 이동하진 않음.
- 목표·알림 등은 기본값으로 자동 세팅 (목표 0, 집중알림 ON·1시간)",구현됨(BE),Group.java 기본값 · GroupServiceImpl.createGroup,
,🍅 3. 소통·초대·온보딩,그룹방_생성,방장 부여,생성자 = HOST (hostAckState=1),구현됨(BE),UserGroup.create HOST,
,POL-057,그룹방_가입,링크 가입,멤버가 만든 /invite/{groupId}로 즉시 MEMBER 가입,구현됨(FE+BE),joinGroupViaLink · inviteModal,
,POL-058,그룹방_가입,내부 초대,"- 친구에게 초대장을 보내면, 상대가 수락/거절할 수 있음
- PENDING→수락 시 MEMBER · 거절 가능",구현됨(FE+BE),inviteMate/acceptInvitation/declineInvitation,
,POL-059,그룹방_가입,정원 강제,일반 그룹 8명은 필드/UI 암시만 있고 join·accept 시 강제 차단 없음,데이터만(DB),Group.maxMemberCount=8 · join 경로에 용량체크 없음 · FE 스켈레톤 8칸,
,POL-060,그룹방_가입,초대 권한,멤버면 누구나 초대/링크 생성 가능(방장 전용 아님),구현됨(BE),ensureCanInvite · createInvitationUrl,
,POL-061,그룹방_세션,입장,"- 방 화면에 들어가면 기본적으로 “쉬는 중(입장)” 상태가 됨
- 그룹 상세 GET 시 NOT_PARTICIPATING이면 enterGroup→RESTING+enteredAt",구현됨(BE),getGroupDetail · UserGroup.enterGroup,
,POL-062,그룹방_세션,세션 퇴장,"- “세션 나가기”를 하더라도 그룹에서 탈퇴되지 않고, 소속은 유지됨
- 멤버십 유지한 채 NOT_PARTICIPATING (DELETE .../session/me)",구현됨(FE+BE),leaveGroupSession · useGroupSessionExitGuard,
,POL-063,그룹방_세션,탭 종료,"- 탭을 닫아도 자리에서 나간 것처럼 처리하려고 함
- beforeunload keepalive로 session/me 호출",구현됨(FE),useGroupSessionExitGuard,
,POL-064,그룹방_탈퇴,일반 멤버 (방장 외),"- 일반 멤버가 나가면 그 그룹에서만 빠짐
- UserGroup 삭제",구현됨(FE+BE),leaveGroup,
,POL-065,그룹방_탈퇴,방장,"- 방장이 나가는데 다른 사람이 있으면 → 가장 오래 있던 멤버가 새 방장
- 가장 오래된 멤버에게 HOST 이양(hostAckState=0) 후 탈퇴",구현됨(FE+BE),leaveGroup L246+ · designateAsNewHost,
,POL-066,그룹방_탈퇴,유저 단독으로 있을 때,마지막 멤버 leaveGroup 시 그룹 삭제,구현됨(FE+BE),leaveGroup 마지막 멤버,
,,그룹방_방장 이양,확인,새 방장 host-ack 모달(GET/PUT host-ack),구현됨(FE+BE),getHostAckStatus/acknowledgeNewHost · alertModal newHostAck,
,🍅 캐릭터 보상 정책,그룹방_관리,이름/이미지,방장(HOST)만 수정 가능,구현됨(FE+BE),updateGroup HOST 검사 · FE 편집 아이콘 HOST,
,POL-067,그룹방_관리,집중체크 알림,"- 방장(HOST)만 설정.
- 디폴트 기본 설정 (동의true, 1시간 주기)
- 1시간 단위 주기",구현됨(FE+BE),Group.java · modifyFocusNotification · FocusNotificationScheduler · FE groupNoti,
,POL-068,그룹방_관리,집중체크 수신자,"- 알림은 “방에 있는 사람 전부”가 아니라, 개인 타이머 돌리는 사람에게만 감 (개인 타이머 ActiveFocusSession 있는 유저에게만 발송)",구현됨(BE),FocusNotificationService,
,POL-069,그룹방_관리,그룹 목표,"- UI는 방장(HOST)만 수정 가능
- BE setGroupGoal은 멤버면 가능",구현됨(FE),FE groupGoal.tsx · BE setGroupGoal,
,POL-070,그룹방_관리,그룹 삭제,HOST만 가능 (API 존재) · FE UI 없음,구현됨(BE),deleteGroupByHost,
,,그룹방_홈UI,몰입/휴식 배지,"- 한 명이라도 개인 타이머 중이면 방 전체가 「몰입 중」, 아니면 「휴식 중」
- PARTICIPATING≥1 → 몰입 중 else 휴식 중",구현됨(FE),home groupRoom · StateButton,
,,그룹방_홈UI,인원 표시,(타이머 실행=PARTICIPATING 수)/(전체 멤버),구현됨(FE),groupRoom · members,
,,그룹방_홈UI,프로필 5+n,최대 5아이콘 · 초과 +n · hover 전체+개별상태,구현됨(FE),members.tsx max=5 · membersHover.tsx,
,,그룹방_방안UI,인원 카운트,(NOT_PARTICIPATING 제외)/(전체),구현됨(FE),groupPage.tsx,
,,그룹방_방안UI,본인 정렬,본인 카드를 맨 앞·4열 그리드,구현됨(FE),groupPage.tsx,
,,그룹방_멤버카드,상단-프로필,프로필 이미지·닉네임·(나) 표시,구현됨(FE),,
,,그룹방_멤버카드,상단-방장,HOST면 왕관 아이콘,구현됨(FE),,
,,그룹방_멤버카드,상단-응원,타인 + 세션 참여 중(end 아님)일 때만 응원 버튼,구현됨(FE),,
,,그룹방_멤버카드,상단-캐릭터,active/rest=일반 캐릭터 / end=잠자는 캐릭터,구현됨(FE),,
,,그룹방_멤버카드,하단-상태문구,{작업이름 or 뭔가} 하는중/쉬어갈래요/참여하지않았어요,구현됨(FE+BE),,
,,그룹방_멤버카드,하단-시간표시,현재 개인 타이머 세션 경과 시간(초),구현됨(FE+BE),,
,,그룹방_멤버카드,시간-비공개,isTimerPublic false → null → 참여중/휴식중 텍스트만,구현됨(FE+BE),,
,,그룹방_멤버카드,할일-비공개,isTaskPublic false → todoTitle null → 뭔가 하는 중,구현됨(FE+BE),,
,,그룹방_멤버카드,최근참여 표시,end 상태 N분/일 전,구현됨(BE),,
,,그룹방_멤버카드,동기화,WS /topic/group/{id}/member-status + 10초 전체 브로드캐스트,구현됨(FE+BE),,
,,그룹방_공개설정,할일/시간 공개,토글로 isTaskPublic/isTimerPublic 반영 · 비공개면 브로드캐스트 null,구현됨(FE+BE),groupMySidebar · updatePersonalTimerVisibility · GroupMemberStatusService,
,,그룹방_목표표시,달성률,accumulatedDuration/goalSeconds*100 (goal0→0%) · finish 후 갱신,구현됨(FE+BE),GroupDetailResponse.from · groupGoal.tsx,
,,그룹방_나가기경고,타이머 중 이탈,개인/그룹 타이머 중이면 TimerEndModal · 확인 후 forceStop/finish·리뷰·session exit,구현됨(FE),groupPage.tsx · useBlockGroupTimerNavigation,
,,그룹방_채팅,채팅,그룹방 UI에 채팅 없음,삭제,BE ChatService는 별도·그룹방 미연동,
,,그룹방_관리,강퇴,HOST만 가능 (API 존재) · FE UI 없음,삭제,ejectMemberFromGroup,
,,,,,,,
,,,,,,,
,,4. 그룹타이머 정책,,,,,
,,그룹 타이머,시작 인원,세션 참여자(participationStatus≠NOT_PARTICIPATING) 2명 미만이면 시작 불가(모달). 소켓 접속 수 아님,구현됨(FE),groupTimer.tsx activeParticipantCount · alertModal groupTimerLimit,
,,그룹 타이머,모달 문구,제목: 공통 타이머는 2명부터… / 메이트 2명 이상 참여·개인타이머 유도,구현됨(FE),alertModal.tsx groupTimerLimit,
,,그룹 타이머,제어 권한,멤버 누구나 start/pause/resume/finish,구현됨(FE+BE),GroupFocusSessionServiceImpl.validateUserAccessToGroup(멤버만) · GroupTimer UI isHost 없음,
,,그룹 타이머,활성 세션,그룹당 활성 그룹타이머 1개,구현됨(BE),ensureNoActiveSession,
,,그룹 타이머,목표시간,FE 시작 요청 targetSeconds=3600 고정,구현됨(FE),groupTimer.tsx start mutate,
,,그룹 타이머,자동 종료,running 중 참여자≤1이면 FE가 finish 호출(paused면 미적용). BE 자동종료 없음,구현됨(FE),groupTimer.tsx useEffect,
,,그룹 타이머,퇴장 시 유지,다른 참여자 남아있으면 그룹타이머 유지·본인 세션만 종료,구현됨(FE+BE),groupPage 나가기 · leaveGroupSession,
,,그룹 타이머,마지막 유저 퇴장,경고 후 그룹타이머 finish,구현됨(FE),groupPage handleFinalExit participatingMemberCount<=1,
,,,,,,,
,,,,,,,
,,,,,,,
,,5. 소통·초대·온보딩,,,,,
,,콕 찌르기,버튼 활성화,상대 isActive일 때만 FE에서 버튼 활성,구현됨(FE),mogakjak-fe .../mate/forkButton.tsx,
,,콕 찌르기,대상 방 목록,함께 속한 그룹방 목록에서 선택,구현됨(FE),forkPopup · common groups API,
,,콕 찌르기,몰입 중 방 초대 비활성,대상가 해당 방에서 PARTICIPATING이면 그 방 초대 CTA 비활성,구현됨(FE),forkPopup.tsx targetParticipationStatus===PARTICIPATING,
,,콕 찌르기,송신 후 이동,발송 후 송신자도 /group/{id}로 이동(+내부초대 API 동시 호출),구현됨(FE),forkPopup handleJoin · useInviteMate · usePoke,
,,콕 찌르기,수신,모달에서 참여하기 클릭 시 해당 방 이동,구현됨(FE),poke 수신 모달,
,,응원하기,리셋 조건,전원 NOT_PARTICIPATING이 되면 cheerCount=0 (일일 리셋 아님),구현됨(BE),GroupServiceImpl.resetAllCheerCounts · leaveGroupSession에서 호출,
,,응원하기,전송 조건,발신·수신 모두 세션 참여 중(≠NOT_PARTICIPATING)이어야 함,구현됨(FE+BE),sendCheer · groupFriendField end면 버튼 없음,
,,초대,외부 링크,URL=/invite/{groupId}. 시간 기반 7일 만료 없음. 그룹 없으면 FE가 만료로 표시,구현됨(FE+BE),BE createInvitationUrl/joinGroupViaLink · FE inviteRedirectLogic,
,,초대,내부 초대,친구 목록에서 PENDING 초대 생성·수락/거절,구현됨(FE+BE),Invitation · inviteMate/accept/decline,
,,메이트 검색,부분일치,닉네임 한 글자라도 일치 시 노출,구현됨(FE),메이트 검색 UI,
,,온보딩·라우팅,분기,미로그인→login / 약관→onboarding / pending invite→/invite/{id} / 완료→홈 또는 그룹,구현됨(FE),auth/callback · middleware · useOnboardingRedirect · inviteRedirectLogic · InviteRedirectHandler,
,,,,,,,
,,,,,,,
,,6. 캐락터 보상 정책,,,,,
,,캐릭터,성장 기준,누적 집중 시간(초) 기준. 출석 일수 조건은 미구현,구현됨(FE+BE),,
,,캐릭터,단계,FE 상수 12단계(1/5/10/20/50/100/150/200/300/400/500/600h),구현됨(FE),,
,,캐릭터,노출,프로필/사이드바는 최고 레벨 캐릭터,구현됨(FE+BE),,
,,캐릭터,비정상 종료,정상 저장되지 않은 시간은 누적/보상 산정에서 제외되는 것이 원칙,데이터만(DB),,
,,,,,,,
,,,,,,,
,,7. 할 일 메뉴 정책,,,,,
,,할일-접근,메뉴 진입,헤더 '할 일' → /todo,구현됨(FE),,
,,할일-접근,로그인 필요,refresh 토큰 없으면 /login 리다이렉트,구현됨(FE),,
,,할일-접근,모바일,모바일 UA도 /todo 접근 가능(홈만 /landing 분기),구현됨(FE),,
,,할일-필터,오늘/전체,사이드바 필터 today | all,구현됨(FE),,
,,할일-필터,오늘 목록,오늘 작업 목록 + 날짜 라벨,구현됨(FE+BE),,
,,할일-필터,전체 목록,전체 투두리스트(모든 날짜),구현됨(FE+BE),,
,,할일-필터,카테고리 선택,전체 또는 특정 카테고리만 우측 표시,구현됨(FE),,
,,할일-카테고리,생성,이름+색상으로 카테고리 추가 · Enter로 저장,구현됨(FE+BE),,
,,할일-카테고리,이름 제한,최대 20자,구현됨(FE+BE),,
,,할일-카테고리,색상,7색(RED~PURPLE) 순환 기본값,구현됨(FE+BE),,
,,할일-카테고리,개수 제한,카테고리 최대 개수 제한 없음,구현됨(BE),,
,,할일-카테고리,수정,이름·색상 변경,구현됨(FE+BE),,
,,할일-카테고리,삭제,카테고리 삭제 시 하위 할 일 전부 삭제,구현됨(FE+BE),,
,,할일-카테고리,순서 변경,드래그 핸들로 순서 변경,구현됨(FE+BE),,
,,할일-카테고리,접기 상태,isExpanded DB 저장·조회만 · 변경 API 없음,데이터만(DB),,
,,할일-작업,생성,카테고리·제목·날짜·목표시간으로 할 일 추가,구현됨(FE+BE),,
,,할일-작업,제목 제한,최대 35자,구현됨(FE+BE),,
,,할일-작업,목표시간,최소 1분~최대 24시간(60~86400초),구현됨(FE+BE),,
,,할일-작업,날짜,과거·미래·오늘 모두 허용,구현됨(FE+BE),,
,,할일-작업,개수 제한,할 일 최대 개수 제한 없음,구현됨(BE),,
,,할일-작업,수정,카테고리·제목·날짜·목표시간 변경,구현됨(FE+BE),,
,,할일-작업,삭제,할 일 1건 삭제(확인 모달),구현됨(FE+BE),,
,,할일-작업,완료 토글,체크박스로 완료/미완료 전환,구현됨(FE+BE),,
,,할일-작업,완료 UI,완료 시 100%·취소선·opacity 50%,구현됨(FE),,
,,할일-작업,달성률,actualTime/targetTime 기준 % · 최대 100%,구현됨(FE+BE),,
,,할일-작업,누적시간 표시,카드에 actualTimeInSeconds HH:MM:SS 표시,구현됨(FE+BE),,
,,할일-작업,누적시간 증가,개인 타이머 pause/finish/뽀모도로 완료 시 가산,구현됨(BE),,
,,할일-작업,드래그이동,미완료 할 일만 다른 카테고리로 DnD,구현됨(FE),,
,,할일-작업,오늘하기,과거 날짜 미완료 작업 → 날짜를 오늘로 변경,구현됨(FE),,
,,할일-작업,과거날짜 추가제한,과거 날짜에서 신규 추가 버튼 숨김,구현됨(FE),,
,,할일-작업,빈 목록,오늘 필터·항목 0건 시 안내 문구,구현됨(FE),,
,,할일-연동,사이드바 선택,홈/그룹방에서 선택한 할 일과 연동,구현됨(FE),,
,,할일-연동,타이머 연동,선택된 할 일로 개인 타이머 시작,구현됨(FE+BE),,
,,할일-연동,온보딩,온보딩 step에서 addWorkForm 재사용,구현됨(FE),,
,,할일-이슈,카테고리수정권한,modifyCategory가 userId 미검증 findById만 사용,구현됨(BE),,
,,할일-이슈,가입시기본카테고리,회원가입 시 기본 카테고리 자동 생성 없음,,,
,,,,,,,
,,,,,,,
,,8. 집중리포트 메뉴 정책,,,,,
,,집중리포트-접근,메뉴 진입,헤더 '집중 리포트' → /record,구현됨(FE),,
,,집중리포트-접근,로그인 필요,refresh 토큰 없으면 /login,구현됨(FE),,
,,집중리포트-접근,약관 언급,개인정보처리방침에 타이머 로그·집중 리포트 분석 명시,구현됨(FE),,
,,집중리포트-히트맵,데이터 소스,focus_interval 기반 일별 몰입 시간(초),구현됨(FE+BE),,
,,집중리포트-히트맵,집계 대상,FOCUS·NORMAL phase만 포함 · BREAK 제외,구현됨(BE),,
,,집중리포트-히트맵,기간,당해 연도 1/1~12/31 전체 일별(없는 날 0),구현됨(FE+BE),,
,,집중리포트-히트맵,그리드,53열×7행 GitHub 스타일 캘린더,구현됨(FE),,
,,집중리포트-히트맵,색상 레벨,0~1h / 1~3h / 3~6h / 6~9h / 9h+ 5단계,구현됨(FE),,
,,집중리포트-히트맵,툴팁,날짜별 몰입 시간 XXh YYm 표시,구현됨(FE),,
,,집중리포트-히트맵,캐시,5분 staleTime,구현됨(FE),,
,,집중리포트-히트맵,이슈-데이터잘림,col>=53 셀 버림 · 윤년+연초요일에 말일 누락 가능,구현됨(FE),,
,,집중리포트-대시보드,탭,오늘(기본)·이번 주·이번 달·전체,구현됨(FE+BE),,
,,집중리포트-대시보드,기간-오늘,오늘 00:00~23:59:59.999,구현됨(BE),,
,,집중리포트-대시보드,기간-이번주,이번 주 월요일 00:00 ~ 다음 월요일 직전,구현됨(BE),,
,,집중리포트-대시보드,기간-이번달,이번 달 1일 ~ 다음 달 1일 직전,구현됨(BE),,
,,집중리포트-대시보드,기간-전체,1970-01-01 ~ now,구현됨(BE),,
,,집중리포트-대시보드,API,GET /api/records/dashboard?rangeType=,구현됨(FE+BE),,
,,집중리포트-대시보드,리페치,마운트·포커스 시 항상 refetch,구현됨(FE),,
,,집중리포트-요약카드,총 몰입시간,선택 기간 focus_session.total_duration 합,구현됨(FE+BE),,
,,집중리포트-요약카드,모각작 몰입,그룹 참여 세션 시간 합,구현됨(FE+BE),,
,,집중리포트-요약카드,개인 몰입,개인 세션 시간 합,구현됨(FE+BE),,
,,집중리포트-요약카드,완료한 작업,기간 내 todo.date·isCompleted=true 건수,구현됨(FE+BE),,
,,집중리포트-요약카드,표시포맷,시간=XXh YYm · 작업=N개,구현됨(FE),,
,,집중리포트-차트,시간대별,0~23시 막대 그래프,구현됨(FE+BE),,
,,집중리포트-차트,시간대 phase,FOCUS/BREAK/NORMAL 모두 포함(히트맵과 다름),구현됨(BE),,
,,집중리포트-차트,Y축 제한,막대 Y축 0~60분 고정 · 60분 초과 시 클리핑,구현됨(FE),,
,,집중리포트-차트,카테고리 도넛,카테고리별 focus_session.total_duration 비율,구현됨(FE+BE),,
,,집중리포트-차트,도넛 라벨,1% 미만 라벨 숨김,구현됨(FE),,
,,집중리포트-차트,카테고리 달성,카테고리별 완료/전체 할 일 수,구현됨(FE+BE),,
,,집중리포트-차트,카테고리 리스트,높이 274px 스크롤·이름 150px truncate,구현됨(FE),,
,,집중리포트-데이터,세션 기준,몰입 시간=focus_session·focus_interval (타이머 로그),구현됨(BE),,
,,집중리포트-데이터,할일 기준,완료 작업 수=todo.date·isCompleted (actualTime 아님),구현됨(BE),,
,,집중리포트-데이터,미사용필드,dashboard 응답 dailyFocus FE 미사용,구현됨(BE),,
,,집중리포트-데이터,마이페이지와 차이,마이페이지 누적=todo.actualTime 합 · 리포트=focus_session,구현됨(FE+BE),,
,,집중리포트-이슈,그룹타이머,그룹 공유 타이머(group_focus_session)는 리포트 집계에 별도 미포함,구현됨(BE),,
,,,,,,,
,,,,,,,
,,9. 마이페이지,,,,,
,,마이페이지-접근,메뉴 진입,헤더 프로필 아이콘 → /mypage,구현됨(FE),,
,,마이페이지-접근,로그인 필요,refresh 토큰 없으면 /login,구현됨(FE),,
,,마이페이지-접근,현재 페이지 표시,pathname===/mypage 시 프로필 버튼 활성,구현됨(FE),,
,,마이페이지-프로필,표시 항목,닉네임·이메일·프로필 이미지·완료 작업·완료 시간·수집 캐릭터 수,구현됨(FE+BE),,
,,마이페이지-프로필,완료 작업 수,완료+미삭제 todo 건수,구현됨(BE),,
,,마이페이지-프로필,완료한 시간,완료 todo의 actualTimeInSeconds 합 → N시간 N분,구현됨(BE),,
,,마이페이지-프로필,대표 캐릭터,보유 중 최고 레벨 캐릭터,구현됨(FE+BE),,
,,마이페이지-프로필,프로필 수정,이름·이메일·이미지 변경 모달,구현됨(FE+BE),,
,,마이페이지-프로필,닉네임 제한,최대 20자·중복 불가,구현됨(BE),,
,,마이페이지-프로필,이메일 제한,@Email 형식·중복 불가,구현됨(BE),,
,,마이페이지-프로필,이미지 업로드,presigned URL · prefix profiles,구현됨(FE),,
,,마이페이지-프로필,계정설정,톱니 → 로그아웃·계정 탈퇴 팝오버,구현됨(FE),,
,,마이페이지-프로필,로그아웃,POST /api/auth/logout → /login,구현됨(FE+BE),,
,,마이페이지-탈퇴,1단계,탈퇴 사유 5종 중복선택 + 자유 피드백,구현됨(FE),,
,,마이페이지-탈퇴,2단계,즉시 삭제·복구 불가 재확인,구현됨(FE),,
,,마이페이지-탈퇴,API,DELETE /api/users/withdrawal · 사유 미전송,구현됨(FE+BE),,
,,마이페이지-탈퇴,처리 방식,soft delete isDeleted=true deletedAt=now,구현됨(BE),,
,,마이페이지-탈퇴,재로그인,탈퇴 계정 WITHDRAWN_USER 에러,구현됨(BE),,
,,마이페이지-탈퇴,그룹 조건,진행 중 그룹 있어도 탈퇴 가능(코드 검증 없음),구현됨(BE),,
,,마이페이지-바구니,그리드,12레벨 고정 4열 카드,구현됨(FE),,
,,마이페이지-바구니,보유 표시,내 과일 바구니 (N/12),구현됨(FE),,
,,마이페이지-바구니,잠금 UI,미보유 시 N시간 달성 후 만나요,구현됨(FE),,
,,마이페이지-바구니,과일 도감,정적 테이블 모달(Lv1=회원가입),구현됨(FE),,
,,마이페이지-바구니,도감 API,GET /characters/guide 존재하나 UI 미사용,구현됨(BE),,
