,🍅 모각작 서비스 정책 관리 (의미 있는 정책ID)

,ID 규칙,"도메인접두어-번호. 같은 정책은 어디서든 같은 ID. 정의행=정식정의, 참조=다른 섹션 재등장"
,레이아웃,3단구조·그리드·FAB·SEO·카드 배치 등 UI 레이아웃은 정책에서 제외

,정책ID,정의/참조,대분류,중분류,내용,구현 여부,출처/위치,노출위치,비고
,,,4. 그룹방,,,,,,
,GROUP-01,정의,그룹방_생성,생성 필드,name + imageUrl로 생성,구현됨(FE+BE),CreateGroupRequest · roomModal,홈,
,GROUP-02,정의,그룹방_생성,기본값,생성 직후 초대팝업(메이트+링크)·방 미이동. 목표0·집중알림 ON·1시간 자동,구현됨(FE+BE),roomMain · Group.java default,홈,
,GROUP-03,정의,그룹방_생성,방장 부여,생성자=HOST (hostAckState=1),구현됨(BE),UserGroup.create HOST,그룹방,
,GROUP-J01,정의,그룹방_가입,링크 가입,/invite/{groupId}로 즉시 MEMBER 가입,구현됨(FE+BE),joinGroupViaLink,초대,INVITE-01과 연동
,GROUP-J02,정의,그룹방_가입,내부 초대,PENDING→수락 시 MEMBER · 거절 가능,구현됨(FE+BE),inviteMate/accept/decline,홈·그룹방,INVITE-02와 동일
,GROUP-J03,정의,그룹방_가입,정원 강제,maxMemberCount=8은 표시만 · join 강제 없음,데이터만(DB),Group.maxMemberCount,그룹방,
,GROUP-J04,정의,그룹방_가입,초대 권한,멤버면 누구나 초대/링크 가능,구현됨(BE),ensureCanInvite,그룹방,
,GROUP-S01,정의,그룹방_세션,입장,GET 상세 시 NOT→RESTING+enteredAt,구현됨(BE),getGroupDetail.enterGroup,그룹방,
,GROUP-S02,정의,그룹방_세션,세션 퇴장,멤버십 유지 · NOT_PARTICIPATING (DELETE session/me),구현됨(FE+BE),leaveGroupSession,그룹방,
,GROUP-S03,정의,그룹방_세션,탭 종료,pagehide keepalive로 session/me,구현됨(FE),useGroupSessionExitGuard,그룹방,
,GROUP-L01,정의,그룹방_탈퇴,일반 멤버,UserGroup 삭제,구현됨(FE+BE),leaveGroup,홈,
,GROUP-L02,정의,그룹방_탈퇴,방장+다른멤버,최장가입 멤버에 HOST 이양(hostAckState=0) 후 탈퇴,구현됨(FE+BE),designateAsNewHost,홈,
,GROUP-L03,정의,그룹방_탈퇴,방장 단독,마지막 멤버 탈퇴 시 그룹 삭제,구현됨(FE+BE),leaveGroup,홈,
,GROUP-L04,정의,그룹방_방장 이양,확인,새 방장 host-ack 모달,구현됨(FE+BE),host-ack GET/PUT,그룹방,
,GROUP-M01,정의,그룹방_관리,이름/이미지,HOST만 수정,구현됨(FE+BE),updateGroup,그룹방,
,GROUP-M02,정의,그룹방_관리,집중체크 알림,HOST만 · 기본 ON·1h · 주기 API 1~23,구현됨(FE+BE),modifyFocusNotification,그룹방,CHG-006
,GROUP-M03,정의,그룹방_관리,집중체크 수신자,개인 타이머 ActiveFocusSession 있는 유저만,구현됨(BE),FocusNotificationService,그룹방,CHG-007
,GROUP-M04,정의,그룹방_관리,그룹 목표,UI HOST만 · BE는 멤버도 setGroupGoal 가능,구현됨(FE),groupGoal · setGroupGoal,그룹방,CHG-005
,GROUP-M05,정의,그룹방_관리,그룹 삭제,HOST만 API · FE UI 없음,구현됨(BE),deleteGroupByHost,그룹방,
,GROUP-M06,정의,그룹방_관리,강퇴,HOST만 API · FE UI 없음,구현됨(BE),ejectMemberFromGroup,그룹방,삭제 예정 표기 가능
,GROUP-H01,정의,그룹방_홈UI,몰입/휴식 배지,PARTICIPATING≥1 → 몰입 중 else 휴식 중,구현됨(FE),StateButton,홈,
,GROUP-H02,정의,그룹방_홈UI,인원 표시,(PARTICIPATING)/(전체),구현됨(FE),groupRoom,홈,
,GROUP-H03,정의,그룹방_홈UI,프로필 5+n,최대 5 · +n · hover,구현됨(FE),members.tsx,홈,
,GROUP-R01,정의,그룹방_방안UI,인원 카운트,(NOT 제외)/(전체),구현됨(FE),groupPage,그룹방,
,GROUP-P01,정의,그룹방_공개설정,할일/시간 공개,isTaskPublic/isTimerPublic · 비공개면 WS null,구현됨(FE+BE),groupMySidebar · MemberStatusService,그룹방,SIDE-G-01과 초기화 연관
,GROUP-G01,정의,그룹방_목표표시,달성률,accumulatedDuration/goalSeconds*100 (goal0→0%),구현됨(FE+BE),GroupDetailResponse · groupGoal,그룹방,CHG-005
,GROUP-X01,정의,그룹방_나가기경고,타이머 중 이탈,개인/그룹 타이머 중 TimerEndModal → forceStop/finish·리뷰·session exit,구현됨(FE),groupPage · TimerEndModal,그룹방,CHG-004/011
,,,4-1. 그룹방 멤버카드,,,,,,
,MCARD-01,정의,멤버카드,상단-프로필,프로필·닉네임·(나),구현됨(FE),groupFriendField,그룹방,
,MCARD-02,정의,멤버카드,상단-방장,HOST면 왕관,구현됨(FE),groupFriendField,그룹방,
,MCARD-03,정의,멤버카드,상단-응원,타인+세션참여 중일 때만 응원 버튼,구현됨(FE),canShowCheer,그룹방,CHEER-02 참조
,MCARD-04,정의,멤버카드,상단-캐릭터,active/rest=일반 · end=잠자는,구현됨(FE),sleeping SVG,그룹방,
,MCARD-05,정의,멤버카드,하단-상태문구,하는중/쉬어갈래요/참여안함 + 할일명,구현됨(FE+BE),groupMemberState,그룹방,STATUS-02~04
,MCARD-06,정의,멤버카드,하단-시간표시(AS-IS),현재 개인 타이머 세션 경과(personalTimerSeconds),구현됨(FE+BE),useLiveTimer,그룹방,CHG-001 → SIDE-C-04로 통일 예정
,MCARD-07,정의,멤버카드,시간-비공개,isTimerPublic false → 시간 숨김,구현됨(FE+BE),MemberStatusService,그룹방,GROUP-P01
,MCARD-08,정의,멤버카드,할일-비공개,isTaskPublic false → '뭔가 하는 중',구현됨(FE+BE),MemberStatusService,그룹방,GROUP-P01
,MCARD-09,정의,멤버카드,최근참여 표시,end 시 N분/일 전 (enteredAt 일수 기준·이름 불일치),구현됨(BE),daysSinceLastParticipation,그룹방,CHG-003
,MCARD-10,정의,멤버카드,동기화,WS member-status + 10초 브로드캐스트,구현됨(FE+BE),GroupMemberStatusScheduler,그룹방,
,,,5. 그룹타이머,,,,,,
,GTIMER-01,정의,그룹 타이머,시작 인원,세션 참여자 2명 미만이면 시작 불가(FE 모달),구현됨(FE),groupTimer · groupTimerLimit,그룹방,CHG-004
,GTIMER-02,정의,그룹 타이머,모달 문구,공통 타이머는 2명부터… / 개인타이머 유도,구현됨(FE),alertModal groupTimerLimit,그룹방,CHG-004
,GTIMER-03,정의,그룹 타이머,제어 권한,멤버 누구나 start/pause/resume/finish,구현됨(FE+BE),GroupFocusSessionServiceImpl,그룹방,CHG-004
,GTIMER-04,정의,그룹 타이머,활성 세션,그룹당 활성 1개,구현됨(BE),ensureNoActiveSession,그룹방,CHG-004
,GTIMER-05,정의,그룹 타이머,목표시간,FE targetSeconds=3600 고정,구현됨(FE),groupTimer start,그룹방,CHG-004
,GTIMER-06,정의,그룹 타이머,자동 종료,running 중 참여자≤1이면 FE finish (paused 미적용),구현됨(FE),groupTimer useEffect,그룹방,CHG-004
,GTIMER-07,정의,그룹 타이머,퇴장 시 유지,다른 참여자 있으면 유지·본인만 세션 종료,구현됨(FE+BE),leaveGroupSession,그룹방,CHG-004
,GTIMER-08,정의,그룹 타이머,마지막 유저 퇴장,경고 후 그룹타이머 finish,구현됨(FE),participatingMemberCount<=1,그룹방,CHG-004/011
,,,6. 소통·초대·온보딩,,,,,,
,POKE-01,정의,콕 찌르기,버튼 활성화,상대 isActive일 때만 FE 활성,구현됨(FE),forkButton,홈·마이페이지,
,POKE-02,정의,콕 찌르기,대상 방 목록,함께 속한 그룹방 목록에서 선택,구현됨(FE),common-groups API,홈·마이페이지,
,POKE-03,정의,콕 찌르기,몰입 중 초대 비활성,대상 PARTICIPATING이면 그 방 CTA 비활성,구현됨(FE),forkPopup,홈·마이페이지,
,POKE-04,정의,콕 찌르기,송신 후 이동,발송 후 송신자도 /group/{id} (+내부초대),구현됨(FE),usePoke · useInviteMate,홈·마이페이지,
,POKE-05,정의,콕 찌르기,수신,모달에서 참여하기 → 해당 방 이동,구현됨(FE),poke 수신 모달,전역,
,CHEER-01,정의,응원하기,리셋 조건,전원 NOT_PARTICIPATING이면 cheerCount=0 (일일 리셋 아님),구현됨(BE),resetAllCheerCounts,그룹방,CHG-012
,CHEER-02,정의,응원하기,전송 조건,발신·수신 모두 세션 참여 중이어야 함,구현됨(FE+BE),sendCheer,그룹방,MCARD-03
,INVITE-01,정의,초대,외부 링크,/invite/{groupId} · 7일 만료 없음,구현됨(FE+BE),createInvitationUrl · joinGroupViaLink,홈·초대,라운지는 LOUNGE-10
,INVITE-02,정의,초대,내부 초대,친구 목록 PENDING 생성·수락/거절,구현됨(FE+BE),Invitation,홈·그룹방,GROUP-J02와 동일
,MATE-01,정의,메이트,목록,함께한 메이트 페이지네이션,구현됨(FE+BE),GET /groups/mates,홈·마이페이지,
,MATE-02,정의,메이트,검색,닉네임 부분일치,구현됨(FE+BE),메이트 검색 UI,홈·마이페이지,
,ONBOARD-01,정의,온보딩·라우팅,분기,미로그인→login / 약관→onboarding / pending invite→/invite / 완료→홈,구현됨(FE),auth/callback · middleware · InviteRedirectHandler,전역,
,,,7. 캐릭터,,,,,,
,CHAR-01,정의,캐릭터,성장 기준,누적 집중 시간(초) · 출석 일수 미구현,구현됨(FE+BE),unlockTimeInSeconds · total-study-time,전역,
,CHAR-02,정의,캐릭터,단계,12단계(1/5/10/20/50/100/150/200/300/400/500/600h),구현됨(FE),CHARACTER_BY_HOURS · BE ImageCharacter,마이페이지,
,SIDE-C-01,참조,캐릭터,노출,프로필/사이드바=최고 레벨 캐릭터,구현됨(FE+BE),getHighestLevelCharacter,사이드바·마이페이지,정의: SIDE-C-01
,CHAR-03,정의,캐릭터,비정상 종료,정상 저장되지 않은 시간은 누적/보상 제외 원칙,데이터만(DB),,전역,
,CHAR-04,정의,캐릭터,해금 시점,세션 리뷰 제출 후 check-award,구현됨(FE),useReviewPopup,그룹방 나가기,
,,,8. 할 일 메뉴,,,,,,
,TODO-01,정의,할일-필터,오늘/전체,today | all 필터,구현됨(FE),todo/page DayFilter,할일,
,TODO-02,정의,할일-필터,오늘 목록,GET /todos/today,구현됨(FE+BE),TodoService,할일,
,TODO-03,정의,할일-필터,전체 목록,GET /todos/my,구현됨(FE+BE),TodoService,할일,
,TODO-04,정의,할일-카테고리,생성,이름+색상 · Enter 저장,구현됨(FE+BE),POST /categories,할일,
,TODO-05,정의,할일-카테고리,이름 제한,최대 20자,구현됨(FE+BE),@Size(20),할일,
,TODO-06,정의,할일-카테고리,색상,7색 RED~PURPLE,구현됨(FE+BE),CategoryColor,할일·리포트,
,TODO-07,정의,할일-카테고리,개수 제한,상한 없음,구현됨(BE),TodoServiceImpl,할일,
,TODO-08,정의,할일-카테고리,수정/삭제/순서,수정·삭제(하위 soft)·순서 PATCH 전체 ID 일치,구현됨(FE+BE),categories API,할일,
,TODO-09,정의,할일-작업,생성,카테고리·제목·날짜·목표시간,구현됨(FE+BE),POST /todos,할일,
,TODO-10,정의,할일-작업,제목 제한,최대 35자,구현됨(FE+BE),@Size(35),할일,
,TODO-11,정의,할일-작업,목표시간,60~86400초(1분~24h),구현됨(FE+BE),DurationField · @Range,할일,
,TODO-12,정의,할일-작업,날짜,과거·미래·오늘 허용,구현됨(FE+BE),date @NotNull만,할일,
,TODO-13,정의,할일-작업,완료 토글,PATCH complete · actualTime 무관,구현됨(FE+BE),toggleComplete,할일,
,SIDE-C-03,참조,할일-작업,달성률,actual/target % · 최대 100%,구현됨(FE+BE),workItem,할일,정의: SIDE-C-03
,SIDE-C-04,참조,할일-작업,누적시간 표시,actualTime HH:MM:SS,구현됨(FE+BE),workItem,할일,정의: SIDE-C-04
,TIMER-02,참조,할일-작업,누적시간 증가,타이머 pause/finish 시 가산,구현됨(BE),FocusSessionServiceImpl,할일,정의: TIMER-02
,TODO-14,정의,할일-작업,오늘하기,과거 미완료 → 날짜를 오늘로,구현됨(FE),onDoToday,할일,
,TODO-15,정의,할일-작업,드래그이동,미완료만 다른 카테고리로 DnD,구현됨(FE),useTodoDragAndDrop,할일,
,TODO-16,정의,할일-작업,과거날짜 추가제한,과거에서 신규 추가 버튼 숨김,구현됨(FE),addWorkForm,할일,
,SIDE-C-02,참조,할일-연동,사이드바 선택,홈/그룹방 선택 할일 연동,구현됨(FE),selectedTodoId,할일·홈·그룹,정의: SIDE-C-02
,TIMER-01,참조,할일-연동,타이머 연동,선택 할일로 개인 타이머 시작,구현됨(FE+BE),FocusSession,할일,정의: TIMER-01
,AUTH-05,참조,할일-접근,로그인 필요,refresh 없으면 /login,구현됨(FE),middleware,할일,정의: AUTH-05
,,,9. 집중리포트,,,,,,
,REPORT-01,정의,집중리포트-히트맵,데이터 소스,focus_interval 일별 초 · FOCUS+NORMAL,구현됨(FE+BE),GET /records/daily,리포트,
,REPORT-02,정의,집중리포트-히트맵,기간,당해 연도만 · 연도선택 UI 없음,구현됨(FE+BE),Year.now(),리포트,
,REPORT-03,정의,집중리포트-히트맵,색상 레벨,0~1 / 1~3 / 3~6 / 6~9 / 9h+,구현됨(FE),secondsToLevel,리포트,
,REPORT-04,정의,집중리포트-대시보드,기간 탭,오늘·이번주·이번달·전체,구현됨(FE+BE),DashboardRangeType,리포트,
,REPORT-05,정의,집중리포트-요약,총/개인/모각작 몰입,focus_session.total_duration · INDIVIDUAL/GROUP,구현됨(FE+BE),FocusRecordServiceImpl,리포트,GROUP=그룹방 개인타이머(공통타이머 아님)
,REPORT-06,정의,집중리포트-요약,완료한 작업,todo.date·isCompleted 건수,구현됨(FE+BE),TodoRepository,리포트,TODO-13
,REPORT-07,정의,집중리포트-차트,시간대별,0~23시 · phase 전부(히트맵과 다름),구현됨(FE+BE),splitIntervalByHour,리포트,
,REPORT-08,정의,집중리포트-차트,카테고리,도넛·달성개수 (focus_session + todo),구현됨(FE+BE),getRawCategoryStats,리포트,TODO-06 색상
,REPORT-09,정의,집중리포트-데이터,마이페이지와 차이,리포트=focus_session · 마이페이지=todo.actualTime,구현됨(FE+BE),,리포트·마이페이지,MYPAGE-T01/T02
,REPORT-10,정의,집중리포트-이슈,그룹타이머 미포함,group_focus_session은 리포트 집계 별도 미포함,구현됨(BE),,리포트,CHG-009
,AUTH-05,참조,집중리포트-접근,로그인 필요,refresh 없으면 /login,구현됨(FE),middleware,리포트,정의: AUTH-05
,,,10. 마이페이지,,,,,,
,MYPAGE-01,정의,마이페이지-프로필,표시 항목,닉네임·이메일·이미지·완료작업·완료시간·수집캐릭터,구현됨(FE+BE),character-basket,마이페이지,
,MYPAGE-02,정의,마이페이지-프로필,프로필 수정,이름·이메일·이미지 · 닉네임20·이메일형식·중복검사,구현됨(FE+BE),PATCH /mypage/profile,마이페이지,
,MYPAGE-03,정의,마이페이지-프로필,로그아웃,POST /auth/logout → /login,구현됨(FE+BE),accountSettings,마이페이지,
,AUTH-04,참조,마이페이지-탈퇴,자진 탈퇴,2단계 UI · 사유 미전송 · soft delete,구현됨(FE+BE),DELETE /users/withdrawal,마이페이지,정의: AUTH-04
,MYPAGE-B01,정의,마이페이지-바구니,보유/잠금,N/12 · 미보유 시 N시간 후 만나요 (FE 상수),구현됨(FE),boardBasket · CHARACTER_BY_HOURS,마이페이지,CHAR-02
,MYPAGE-B02,정의,마이페이지-바구니,해금,total-study-time ≥ unlock · 리뷰 후 check-award,구현됨(FE+BE),check-award,마이페이지,CHAR-01·04
,MYPAGE-T01,정의,마이페이지-누적시간,캐릭터용,todo actualTime 전체 합(완료 무관),구현됨(BE),sumActualTimeByUser,마이페이지,CHAR-01
,MYPAGE-T02,정의,마이페이지-누적시간,프로필용,완료 todo actualTime만,구현됨(BE),sumCompletedWorksTimeByUser,마이페이지,REPORT-09
,MATE-01,참조,마이페이지-메이트,목록,GET /groups/mates,구현됨(FE+BE),boardMate,마이페이지,정의: MATE-01
,MATE-02,참조,마이페이지-메이트,검색,닉네임 검색,구현됨(FE),boardMate,마이페이지,정의: MATE-02
,POKE-01,참조,마이페이지-메이트,콕 찌르기,활성 메이트만,구현됨(FE),forkButton,마이페이지,정의: POKE-01
,MYPAGE-M06,정의,마이페이지-메이트,라운지 필터,홈과 달리 라운지 제외 로직 없음,구현됨(FE),boardMate,마이페이지,LOUNGE-12와 불일치
,SIDE-C-01,참조,마이페이지-연동,대표 캐릭터,최고 레벨,구현됨(FE+BE),character-basket,마이페이지,정의: SIDE-C-01
,AUTH-05,참조,마이페이지-접근,로그인 필요,refresh 없으면 /login,구현됨(FE),middleware,마이페이지,정의: AUTH-05
