,,,,,,
,사이드바 (공통),작업 달성률,화면 달성률은 최대 100%,구현됨(FE+BE),BE Math.min(100; progress) · FE todo 표시,
,사이드바 (공통),작업 누적 시건,"작업 기준 누적 합산 표시. 작업이 1일 단위 이므로, 결국엔 하루 - 작업 기준 누적 합산",데이터만(DB),개인 타이머/할일 actualTime · 사이드바 오늘 누적 UI,
,사이드바 (공통),개인 타이머 강제 종료,타이머 작동(실행/휴식) 중 페이지 이동 시 타이머가 강제 종료됨,구현됨(FE),,beforeunload/뒤로가기/그룹 네비 등 경로별. 모든 SPA 이동 자동종료는 아님
,,,,,,
,,,,,,
,2. 공식라운지 정책,,,,,
,공식라운지,정원,최대 20명 · 초과 시 입장 거부 모달,구현됨(FE+BE),OfficialLoungeBootstrap MAX=20 · OfficialLoungePresenceService · alertModal officialLoungeFull,
,공식라운지,홈 UI,탈퇴 없음 · 공식 라운지 전용 입장,구현됨(FE),groupRoom.tsx official lounge branch,
,공식라운지,참여상태,개인타이머↔UserGroup 참여상태 동기화 스킵,구현됨(BE),FocusSessionServiceImpl officialLounge early return,
,,,,,,
,,,,,,
,3. 그룹방 정책,,,,,
,그룹방_생성,생성 필드,name + imageUrl로 생성,구현됨(FE+BE),CreateGroupRequest · FE roomModal,
,그룹방_생성,기본값,description빈문자 password null goalSeconds=0 maxMemberCount=8 집중알림 on/1h/기본메시지,구현됨(BE),Group.java 기본값 · GroupServiceImpl.createGroup,
,그룹방_생성,방장 부여,생성자 = HOST (hostAckState=1),구현됨(BE),UserGroup.create HOST,
,그룹방_가입,링크 가입,멤버가 만든 /invite/{groupId}로 즉시 MEMBER 가입,구현됨(FE+BE),joinGroupViaLink · inviteModal,
,그룹방_가입,내부 초대,PENDING→수락 시 MEMBER · 거절 가능,구현됨(FE+BE),inviteMate/acceptInvitation/declineInvitation,
,그룹방_가입,정원 강제,일반 그룹 8명은 필드/UI 암시만 있고 join·accept 시 강제 차단 없음,데이터만(DB),Group.maxMemberCount=8 · join 경로에 용량체크 없음 · FE 스켈레톤 8칸,maxMemberCount=8 필드만 있고 join/accept 강제 없음
,그룹방_가입,초대 권한,멤버면 누구나 초대/링크 생성 가능(방장 전용 아님),구현됨(BE),ensureCanInvite · createInvitationUrl,
,그룹방_세션,입장,그룹 상세 GET 시 NOT_PARTICIPATING이면 enterGroup→RESTING+enteredAt,구현됨(BE),getGroupDetail · UserGroup.enterGroup,
,그룹방_세션,세션 퇴장,멤버십 유지한 채 NOT_PARTICIPATING (DELETE .../session/me),구현됨(FE+BE),leaveGroupSession · useGroupSessionExitGuard,
,그룹방_세션,탭 종료,beforeunload keepalive로 session/me 호출,구현됨(FE),useGroupSessionExitGuard,
,그룹방_탈퇴,일반 멤버,UserGroup 삭제,구현됨(FE+BE),leaveGroup,
,그룹방_탈퇴,방장+다른멤버,가장 오래된 멤버에게 HOST 이양(hostAckState=0) 후 탈퇴,구현됨(FE+BE),leaveGroup L246+ · designateAsNewHost,
,그룹방_탈퇴,방장 단독,그룹 자체 삭제,구현됨(FE+BE),leaveGroup 마지막 멤버,
,그룹방_방장 이양,확인,새 방장 host-ack 모달(GET/PUT host-ack),구현됨(FE+BE),getHostAckStatus/acknowledgeNewHost · alertModal newHostAck,
,그룹방_관리,이름/이미지,HOST만 수정,구현됨(FE+BE),updateGroup HOST 검사 · FE 편집 아이콘 HOST,
,그룹방_관리,집중체크 알림,HOST만 설정. 기본 동의true 주기1시간 메시지 고정문구. 주기 API 1~23,구현됨(FE+BE),Group.java · modifyFocusNotification · FocusNotificationScheduler · FE groupNoti,FE 주기 UI 1~99 vs BE API Max 23 불일치 가능
,그룹방_관리,집중체크 수신자,개인 타이머 ActiveFocusSession 있는 유저에게만 발송,구현됨(BE),FocusNotificationService,
,그룹방_관리,그룹 목표,UI는 HOST만 · BE setGroupGoal은 멤버면 가능,구현됨(FE),FE groupGoal.tsx · BE setGroupGoal,FE는 HOST만 편집 UI. BE setGroupGoal은 멤버면 가능
,그룹방_관리,강퇴,HOST만 API 존재 · FE UI 없음,구현됨(BE),ejectMemberFromGroup,
,그룹방_관리,그룹 삭제,HOST만 API · FE UI 없음,구현됨(BE),deleteGroupByHost,
,그룹방_홈UI,몰입/휴식 배지,PARTICIPATING≥1 → 몰입 중 else 휴식 중,구현됨(FE),home groupRoom · StateButton,
,그룹방_홈UI,인원 표시,(타이머 실행=PARTICIPATING 수)/(전체 멤버),구현됨(FE),groupRoom · members,
,그룹방_홈UI,프로필 5+n,최대 5아이콘 · 초과 +n · hover 전체+개별상태,구현됨(FE),members.tsx max=5 · membersHover.tsx,
,그룹방_방안UI,카드 상태,PARTICIPATING=하는중 / RESTING=쉬어갈래요 / NOT=참여하지않았어요,구현됨(FE),groupMemberState.tsx · groupPage,
,그룹방_방안UI,인원 카운트,(NOT_PARTICIPATING 제외)/(전체),구현됨(FE),groupPage.tsx,
,그룹방_방안UI,본인 정렬,본인 카드를 맨 앞·4열 그리드,구현됨(FE),groupPage.tsx,
,그룹방_공개설정,할일/시간 공개,토글로 isTaskPublic/isTimerPublic 반영 · 비공개면 브로드캐스트 null,구현됨(FE+BE),groupMySidebar · updatePersonalTimerVisibility · GroupMemberStatusService,
,그룹방_목표표시,달성률,accumulatedDuration/goalSeconds*100 (goal0→0%) · finish 후 갱신,구현됨(FE+BE),GroupDetailResponse.from · groupGoal.tsx,
,그룹방_나가기경고,타이머 중 이탈,개인/그룹 타이머 중이면 TimerEndModal · 확인 후 forceStop/finish·리뷰·session exit,구현됨(FE),groupPage.tsx · useBlockGroupTimerNavigation,
,그룹방_채팅,채팅,그룹방 UI에 채팅 없음,,BE ChatService는 별도·그룹방 미연동,그룹방 UI에 채팅 없음(해당 라벨 없음)
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,🍅 3. 그룹타이머,,,,,
,그룹 타이머,시작 인원,세션 참여자(participationStatus≠NOT_PARTICIPATING) 2명 미만이면 시작 불가(모달). 소켓 접속 수 아님,구현됨(FE),groupTimer.tsx activeParticipantCount · alertModal groupTimerLimit,
,그룹 타이머,모달 문구,제목: 공통 타이머는 2명부터… / 메이트 2명 이상 참여·개인타이머 유도,구현됨(FE),alertModal.tsx groupTimerLimit,
,그룹 타이머,제어 권한,멤버 누구나 start/pause/resume/finish,구현됨(FE+BE),GroupFocusSessionServiceImpl.validateUserAccessToGroup(멤버만) · GroupTimer UI isHost 없음,
,그룹 타이머,활성 세션,그룹당 활성 그룹타이머 1개,구현됨(BE),ensureNoActiveSession,
,그룹 타이머,목표시간,FE 시작 요청 targetSeconds=3600 고정,구현됨(FE),groupTimer.tsx start mutate,
,그룹 타이머,자동 종료,running 중 참여자≤1이면 FE가 finish 호출(paused면 미적용). BE 자동종료 없음,구현됨(FE),groupTimer.tsx useEffect,
,그룹 타이머,퇴장 시 유지,다른 참여자 남아있으면 그룹타이머 유지·본인 세션만 종료,구현됨(FE+BE),groupPage 나가기 · leaveGroupSession,
,그룹 타이머,마지막 유저 퇴장,경고 후 그룹타이머 finish,구현됨(FE),groupPage handleFinalExit participatingMemberCount<=1,
,,,,,,
,,,,,,
,,,,,,
,🍅 3. 소통·초대·온보딩,,,,,
,콕 찌르기,버튼 활성화,상대 isActive일 때만 FE에서 버튼 활성,구현됨(FE),mogakjak-fe .../mate/forkButton.tsx,
,콕 찌르기,대상 방 목록,함께 속한 그룹방 목록에서 선택,구현됨(FE),forkPopup · common groups API,
,콕 찌르기,몰입 중 방 초대 비활성,대상가 해당 방에서 PARTICIPATING이면 그 방 초대 CTA 비활성,구현됨(FE),forkPopup.tsx targetParticipationStatus===PARTICIPATING,
,콕 찌르기,송신 후 이동,발송 후 송신자도 /group/{id}로 이동(+내부초대 API 동시 호출),구현됨(FE),forkPopup handleJoin · useInviteMate · usePoke,
,콕 찌르기,수신,모달에서 참여하기 클릭 시 해당 방 이동,구현됨(FE),poke 수신 모달,
,응원하기,리셋 조건,전원 NOT_PARTICIPATING이 되면 cheerCount=0 (일일 리셋 아님),구현됨(BE),GroupServiceImpl.resetAllCheerCounts · leaveGroupSession에서 호출,
,응원하기,전송 조건,발신·수신 모두 세션 참여 중(≠NOT_PARTICIPATING)이어야 함,구현됨(FE+BE),sendCheer · groupFriendField end면 버튼 없음,
,초대,외부 링크,URL=/invite/{groupId}. 시간 기반 7일 만료 없음. 그룹 없으면 FE가 만료로 표시,구현됨(FE+BE),BE createInvitationUrl/joinGroupViaLink · FE inviteRedirectLogic,링크 가입은 FE+BE. 시간 기반 7일 만료는 미구현
,초대,내부 초대,친구 목록에서 PENDING 초대 생성·수락/거절,구현됨(FE+BE),Invitation · inviteMate/accept/decline,
,메이트 검색,부분일치,닉네임 한 글자라도 일치 시 노출,구현됨(FE),메이트 검색 UI,
,온보딩·라우팅,분기,미로그인→login / 약관→onboarding / pending invite→/invite/{id} / 완료→홈 또는 그룹,구현됨(FE),auth/callback · middleware · useOnboardingRedirect · inviteRedirectLogic · InviteRedirectHandler,
,,,,,,
,,,,,,
,🍅 캐락터 보상 정책,,,,,
,캐릭터,성장 기준,누적 집중 시간(초) 기준. 출석 일수 조건은 미구현,구현됨(FE+BE),,누적 시간만 구현. 출석 일수 조건 미구현
,캐릭터,단계,FE 상수 12단계(1/5/10/20/50/100/150/200/300/400/500/600h),구현됨(FE),,FE 하드코드 상수. BE는 ImageCharacter DB unlockTimeInSeconds
,캐릭터,노출,프로필/사이드바는 최고 레벨 캐릭터,구현됨(FE+BE),,
,캐릭터,비정상 종료,정상 저장되지 않은 시간은 누적/보상 산정에서 제외되는 것이 원칙,데이터만(DB),,
