대분류,중분류,정책내용(권장문구),문서상태,구현상태,근거_출처,비고
콕 찌르기,몰입 중 방 초대 비활성,대상가 해당 방에서 PARTICIPATING이면 그 방 초대 CTA 비활성,유지정책,FE만,forkPopup.tsx targetParticipationStatus===PARTICIPATING,BE 미검사
콕 찌르기,송신 후 이동,발송 후 송신자도 /group/{id}로 이동(+내부초대 API 동시 호출),유지정책,FE,forkPopup handleJoin · useInviteMate · usePoke,
콕 찌르기,수신,모달에서 참여하기 클릭 시 해당 방 이동,유지정책,FE,poke 수신 모달,
응원하기,리셋 조건,전원 NOT_PARTICIPATING이 되면 cheerCount=0 (일일 리셋 아님),수정필수,구현됨(BE),GroupServiceImpl.resetAllCheerCounts · leaveGroupSession에서 호출,시트의 '하루 지나면 0'은 오기재
응원하기,전송 조건,발신·수신 모두 세션 참여 중(≠NOT_PARTICIPATING)이어야 함,유지정책_추가,구현됨(BE+FE),sendCheer · groupFriendField end면 버튼 없음,
초대,외부 링크,URL=/invite/{groupId}. 시간 기반 7일 만료 없음. 그룹 없으면 FE가 만료로 표시,수정필수,반쪽,BE createInvitationUrl/joinGroupViaLink · FE inviteRedirectLogic,시트 '7일 유효' 삭제 또는 TO-BE로 분리
초대,내부 초대,친구 목록에서 PENDING 초대 생성·수락/거절,유지정책,구현됨(BE+FE),Invitation · inviteMate/accept/decline,
메이트 검색,부분일치,닉네임 한 글자라도 일치 시 노출,유지정책,구현됨(FE/검색API),메이트 검색 UI,
온보딩·라우팅,분기,"미로그인→login / 약관→onboarding / pending invite→/invite/{id} / 완료→홈 또는 그룹",유지정책,구현됨(FE),auth/callback · middleware · useOnboardingRedirect · inviteRedirectLogic · InviteRedirectHandler,섹션5 제목과 내용 분리 필요(현재 캐릭터와 혼재)
===== 4. 그룹 타이머 =====,,,,,,
그룹 타이머,시작 인원,"세션 참여자(participationStatus≠NOT_PARTICIPATING) 2명 미만이면 시작 불가(모달). 소켓 접속 수 아님",수정권장,FE만,groupTimer.tsx activeParticipantCount · alertModal groupTimerLimit,BE startGroupTimer는 인원 미검증
그룹 타이머,모달 문구,제목: 공통 타이머는 2명부터… / 메이트 2명 이상 참여·개인타이머 유도,유지정책,FE,alertModal.tsx groupTimerLimit,본문의 '개인타이머 먼저'는 UX 카피(실제 시작 조건은 세션 참여 2명)
그룹 타이머,제어 권한,멤버 누구나 start/pause/resume/finish,유지정책,구현됨(FE+BE),GroupFocusSessionServiceImpl.validateUserAccessToGroup(멤버만) · GroupTimer UI isHost 없음,
그룹 타이머,활성 세션,그룹당 활성 그룹타이머 1개,유지정책_추가,구현됨(BE),ensureNoActiveSession,
그룹 타이머,목표시간,FE 시작 요청 targetSeconds=3600 고정,유지정책_추가,FE,groupTimer.tsx start mutate,
그룹 타이머,자동 종료,running 중 참여자≤1이면 FE가 finish 호출(paused면 미적용). BE 자동종료 없음,수정권장,FE만,groupTimer.tsx useEffect,시트의 '시스템 자동'→'FE가 finish API 호출'
그룹 타이머,퇴장 시 유지,다른 참여자 남아있으면 그룹타이머 유지·본인 세션만 종료,유지정책,FE+BE,groupPage 나가기 · leaveGroupSession,
그룹 타이머,마지막 유저 퇴장,경고 후 그룹타이머 finish,유지정책,FE,groupPage handleFinalExit participatingMemberCount<=1,
===== 5. 캐릭터 보상(구 섹션5 제목 오류 수정) =====,,,,,,
캐릭터,성장 기준,누적 집중 시간(초) 기준. 출석 일수 조건은 미구현,수정권장,구현됨(시간만),FE _constants/character.ts · BE ImageCharacter.unlockTimeInSeconds,TO-BE(일수+시간)는 미반영
캐릭터,단계,FE 상수 12단계(1/5/10/20/50/100/150/200/300/400/500/600h),유지정책_확인필요,FE상수·BE는DB,character.ts · ImageCharacterServiceImpl.checkAndAwardCharacters,시트 '350시간'과 FE 600h 최종단계 불일치 확인 필요
캐릭터,노출,프로필/사이드바는 최고 레벨 캐릭터,수정권장,구현됨(BE),getHighestLevelCharacter,'최근 획득' 문구 수정
캐릭터,비정상 종료,정상 저장되지 않은 시간은 누적/보상 산정에서 제외되는 것이 원칙,유지정책,구현의존,세션 finish로 저장된 total_duration만 집계,페이지 이탈 keepalive finish 경로는 저장될 수 있음
===== 6. 그룹방 정책(신규·보강) =====,,,,,,
그룹방_생성,생성 필드,name + imageUrl로 생성,유지정책_추가,구현됨,CreateGroupRequest · FE roomModal,
그룹방_생성,기본값,"description빈문자 password null goalSeconds=0 maxMemberCount=8 집중알림 on/1h/기본메시지",유지정책_추가,구현됨(BE),Group.java 기본값 · GroupServiceImpl.createGroup,
그룹방_생성,방장 부여,생성자 = HOST (hostAckState=1),유지정책,구현됨(BE),UserGroup.create HOST,
그룹방_가입,링크 가입,멤버가 만든 /invite/{groupId}로 즉시 MEMBER 가입,유지정책_추가,구현됨,joinGroupViaLink · inviteModal,
그룹방_가입,내부 초대,PENDING→수락 시 MEMBER · 거절 가능,유지정책_추가,구현됨,inviteMate/acceptInvitation/declineInvitation,
그룹방_가입,정원 강제,일반 그룹 8명은 필드/UI 암시만 있고 join·accept 시 강제 차단 없음,문서화_갭,반쪽,Group.maxMemberCount=8 · join 경로에 용량체크 없음 · FE 스켈레톤 8칸,정책으로 '8명 강제'를 쓸지 결정 필요
그룹방_가입,초대 권한,멤버면 누구나 초대/링크 생성 가능(방장 전용 아님),유지정책_추가,구현됨(BE),ensureCanInvite · createInvitationUrl,
그룹방_세션,입장,그룹 상세 GET 시 NOT_PARTICIPATING이면 enterGroup→RESTING+enteredAt,유지정책_추가,구현됨(BE),getGroupDetail · UserGroup.enterGroup,
그룹방_세션,세션 퇴장,멤버십 유지한 채 NOT_PARTICIPATING (DELETE .../session/me),유지정책_추가,구현됨,leaveGroupSession · useGroupSessionExitGuard,
그룹방_세션,탭 종료,beforeunload keepalive로 session/me 호출,유지정책_추가,FE,useGroupSessionExitGuard,
그룹방_탈퇴,일반 멤버,UserGroup 삭제,유지정책_추가,구현됨,leaveGroup,
그룹방_탈퇴,방장+다른멤버,가장 오래된 멤버에게 HOST 이양(hostAckState=0) 후 탈퇴,유지정책_추가,구현됨(BE),leaveGroup L246+ · designateAsNewHost,Swagger '방장 탈퇴 불가' 문구와 불일치
그룹방_탈퇴,방장 단독,그룹 자체 삭제,유지정책_추가,구현됨(BE),leaveGroup 마지막 멤버,
그룹방_방장이양,확인,새 방장 host-ack 모달(GET/PUT host-ack),유지정책_추가,구현됨,getHostAckStatus/acknowledgeNewHost · alertModal newHostAck,
그룹방_관리,이름/이미지,HOST만 수정,유지정책,구현됨(FE+BE),updateGroup HOST 검사 · FE 편집 아이콘 HOST,
그룹방_관리,집중체크 알림,HOST만 설정. 기본 동의true 주기1시간 메시지 고정문구. 주기 API 1~23,유지정책,구현됨(반쪽UI),Group.java · modifyFocusNotification · FocusNotificationScheduler · FE groupNoti,FE 주기 UI 1~99 vs BE Max23
그룹방_관리,집중체크 수신자,개인 타이머 ActiveFocusSession 있는 유저에게만 발송,유지정책_추가,구현됨(BE),FocusNotificationService,시트 '방 접속자'보다 좁음
그룹방_관리,그룹 목표,UI는 HOST만 · BE setGroupGoal은 멤버면 가능,수정권장,반쪽,FE groupGoal.tsx · BE setGroupGoal,정책을 방장전용으로 통일하려면 BE 가드 필요
그룹방_관리,강퇴,HOST만 API 존재 · FE UI 없음,문서화_갭,BE만,ejectMemberFromGroup,제품에 노출할지 결정
그룹방_관리,그룹 삭제,HOST만 API · FE UI 없음,문서화_갭,BE만,deleteGroupByHost,
그룹방_홈UI,몰입/휴식 배지,PARTICIPATING≥1 → 몰입 중 else 휴식 중,유지정책,FE,home groupRoom · StateButton,
그룹방_홈UI,인원 표시,(타이머 실행=PARTICIPATING 수)/(전체 멤버),유지정책,FE,groupRoom · members,
그룹방_홈UI,프로필 5+n,최대 5아이콘 · 초과 +n · hover 전체+개별상태,유지정책,FE,members.tsx max=5 · membersHover.tsx,
그룹방_방안UI,카드 상태,"PARTICIPATING=하는중 / RESTING=쉬어갈래요 / NOT=참여하지않았어요",유지정책_추가,FE,groupMemberState.tsx · groupPage,
그룹방_방안UI,인원 카운트,(NOT_PARTICIPATING 제외)/(전체),유지정책_추가,FE,groupPage.tsx,
그룹방_방안UI,본인 정렬,본인 카드를 맨 앞·4열 그리드,유지정책_추가,FE,groupPage.tsx,
그룹방_공개설정,할일/시간 공개,토글로 isTaskPublic/isTimerPublic 반영 · 비공개면 브로드캐스트 null,유지정책_추가,구현됨,groupMySidebar · updatePersonalTimerVisibility · GroupMemberStatusService,
그룹방_목표표시,달성률,accumulatedDuration/goalSeconds*100 (goal0→0%) · finish 후 갱신,유지정책_추가,구현됨,GroupDetailResponse.from · groupGoal.tsx,
그룹방_나가기경고,타이머 중 이탈,개인/그룹 타이머 중이면 TimerEndModal · 확인 후 forceStop/finish·리뷰·session exit,유지정책_추가,FE,groupPage.tsx · useBlockGroupTimerNavigation,
그룹방_채팅,채팅,그룹방 UI에 채팅 없음,문서화,미연결,BE ChatService는 별도·그룹방 미연동,정책 문서에 '없음' 명시 가능
===== 7. 공식 라운지(그룹과 구분) =====,,,,,,
공식라운지,정원,최대 20명 · 초과 시 입장 거부 모달,유지정책_추가,구현됨,OfficialLoungeBootstrap MAX=20 · OfficialLoungePresenceService · alertModal officialLoungeFull,일반 그룹 8과 별개
공식라운지,홈 UI,케밥/탈퇴 없음 · 공식 라운지 전용 입장,유지정책_추가,FE,groupRoom.tsx official lounge branch,
공식라운지,참여상태,개인타이머↔UserGroup 참여상태 동기화 스킵,유지정책_추가,BE,FocusSessionServiceImpl officialLounge early return,
